	empathy	empathy_bin	distress	distress_bin
cnn	0.49931870803867	0.6236559139784946	0.42573674451147026	0.6182795698924731
ffn	0.47869013318656156	0.6559139784946236	0.36788883343511963	0.6021505376344086
ridge	0.49830764521992377		0.37458327318557433	
maxent		0.6451612903225806		0.6129032258064516
