	empathy	distress	mean
1	0.39857321192722794	0.45972416485489104	0.42914868839105946
2	0.3602607704242042	0.4359273001420644	0.39809403528313425
3	0.466039331158889	0.44204155967819836	0.4540404454185437
4	0.41696774295063643	0.3642404864979622	0.39060411472429934
5	0.5368361235041069	0.4279822840035351	0.482409203753821
6	0.3925835673616212	0.4342473192353823	0.4134154432985018
7	0.43345610221247316	0.49754991939320214	0.4655030108028376
8	0.34119007976371707	0.44971353416768206	0.3954518069656996
9	0.3539006919934527	0.519011088326873	0.43645589016016284
10	0.3367100997915704	0.4092190978229642	0.3729645988072673
stdev	0.062879769389354	0.04316134641597327	0.035801775526867856
mean	0.40365177210878994	0.4439656754122755	0.4238087237605327
